[I 170911 15:13:17 writedosshell:179] 
    
    This is the standard passed in EDIFACT_D08B
    
    
[I 170911 15:15:00 writedosshell:67] 74 FACT_ENTREC_D08B.dic
[I 170911 15:15:00 writedosshell:67] 75 FACT_FINCAN_D08B.dic
[I 170911 15:15:00 writedosshell:67] 76 FACT_FINPAY_D08B.dic
[I 170911 15:15:00 writedosshell:67] 77 FACT_FINSTA_D08B.dic
[I 170911 15:15:00 writedosshell:67] 78 FACT_GENRAL_D08B.dic
[I 170911 15:15:00 writedosshell:67] 79 FACT_GESMES_D08B.dic
[I 170911 15:15:00 writedosshell:67] 80 FACT_HANMOV_D08B.dic
[I 170911 15:15:00 writedosshell:67] 81 FACT_ICASRP_D08B.dic
[I 170911 15:15:00 writedosshell:67] 82 FACT_ICSOLI_D08B.dic
[I 170911 15:15:00 writedosshell:67] 83 FACT_IFCSUM_D08B.dic
[I 170911 15:15:00 writedosshell:67] 84 FACT_IFTCCA_D08B.dic
[I 170911 15:15:00 writedosshell:67] 85 FACT_IFTDGN_D08B.dic
[I 170911 15:15:00 writedosshell:67] 86 FACT_IFTFCC_D08B.dic
[I 170911 15:15:01 writedosshell:67] 87 FACT_IFTICL_D08B.dic
[I 170911 15:15:01 writedosshell:67] 88 FACT_IFTMAN_D08B.dic
[I 170911 15:15:01 writedosshell:67] 89 FACT_IFTMBC_D08B.dic
[I 170911 15:15:01 writedosshell:67] 90 FACT_IFTMBF_D08B.dic
[I 170911 15:15:01 writedosshell:67] 91 FACT_IFTMBP_D08B.dic
[I 170911 15:15:01 writedosshell:67] 92 FACT_IFTMCA_D08B.dic
[I 170911 15:15:01 writedosshell:67] 93 FACT_IFTMCS_D08B.dic
[I 170911 15:15:01 writedosshell:67] 94 FACT_IFTMIN_D08B.dic
[I 170911 15:15:01 writedosshell:67] 95 FACT_IFTRIN_D08B.dic
[I 170911 15:15:01 writedosshell:67] 96 FACT_IFTSAI_D08B.dic
[I 170911 15:15:01 writedosshell:67] 97 FACT_IFTSTA_D08B.dic
[I 170911 15:15:01 writedosshell:67] 98 FACT_IFTSTQ_D08B.dic
[I 170911 15:15:01 writedosshell:67] 99 FACT_IMPDEF_D08B.dic
[I 170911 15:15:01 writedosshell:67] 100 FACT_INFCON_D08B.dic
[I 170911 15:15:01 writedosshell:67] 101 FACT_INFENT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 102 FACT_INSDES_D08B.dic
[I 170911 15:15:01 writedosshell:67] 103 FACT_INSPRE_D08B.dic
[I 170911 15:15:01 writedosshell:67] 104 FACT_INSREQ_D08B.dic
[I 170911 15:15:01 writedosshell:67] 105 FACT_INSRPT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 106 FACT_INVOIC_D08B.dic
[I 170911 15:15:01 writedosshell:67] 107 FACT_INVRPT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 108 FACT_IPPOAD_D08B.dic
[I 170911 15:15:01 writedosshell:67] 109 FACT_IPPOMO_D08B.dic
[I 170911 15:15:01 writedosshell:67] 110 FACT_ISENDS_D08B.dic
[I 170911 15:15:01 writedosshell:67] 111 FACT_ITRRPT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 112 FACT_JAPRES_D08B.dic
[I 170911 15:15:01 writedosshell:67] 113 FACT_JINFDE_D08B.dic
[I 170911 15:15:01 writedosshell:67] 114 FACT_JOBAPP_D08B.dic
[I 170911 15:15:01 writedosshell:67] 115 FACT_JOBCON_D08B.dic
